DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS;;;;;;
;Veículo;;Placa;Locadora;Lotação;Responsável/ veículo
51;Fiat-mobi;PBD;0110;Connecta;Geseg;Lucrécia Carvalho Silva
52;Fiat-mobi;PBE;0126;Connecta;Geseg;Lucrécia Carvalho Silva
53;Doblô-essence;PBR;2219;Quality;Geseg;Lucrécia Carvalho Silva
54;Doblô-essence;PBR;2164;Quality;Geseg;Lucrécia Carvalho Silva
